mission_time,target_altitude,current_altitude,error,velocity_cmd,control_action,height_sonar,height_baro,velocity_z_measured,battery
2.7570784091949463,1.5,1.45,0.050000000000000044,0.0,HOLD,1.45,-39.38,0.06,100
2.8001699447631836,1.5,1.4,0.10000000000000009,1.0,CLIMB,1.4,-39.39,0.04,100
2.855113983154297,1.5,1.4,0.10000000000000009,1.0,CLIMB,1.4,-39.39,0.04,100
2.9091262817382812,1.5,1.37,0.1299999999999999,1.0,CLIMB,1.37,-39.46,0.03,100
2.951608419418335,1.5,1.37,0.1299999999999999,1.0,CLIMB,1.37,-39.46,0.03,100
3.005218505859375,1.5,1.36,0.1399999999999999,1.0,CLIMB,1.36,-39.39,0.0,100
3.0590381622314453,1.5,1.36,0.1399999999999999,1.0,CLIMB,1.36,-39.39,0.0,100
3.101489782333374,1.5,1.36,0.1399999999999999,1.0,CLIMB,1.36,-39.39,0.0,100
3.1546225547790527,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.32,-0.02,100
3.20920467376709,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.32,-0.02,100
3.252779960632324,1.5,1.43,0.07000000000000006,0.0,HOLD,1.43,-39.29,-0.04,100
3.307711362838745,1.5,1.43,0.07000000000000006,0.0,HOLD,1.43,-39.29,-0.04,100
3.3504254817962646,1.5,1.49,0.010000000000000009,0.0,HOLD,1.49,-39.32,-0.06,100
3.403561592102051,1.5,1.49,0.010000000000000009,0.0,HOLD,1.49,-39.32,-0.06,100
3.45636248588562,1.5,1.56,-0.06000000000000005,0.0,HOLD,1.56,-39.21,-0.08,100
3.509230852127075,1.5,1.56,-0.06000000000000005,0.0,HOLD,1.56,-39.21,-0.08,100
3.5515379905700684,1.5,1.64,-0.1399999999999999,-0.8,DESCEND,1.64,-39.19,-0.07,100
3.6053309440612793,1.5,1.64,-0.1399999999999999,-0.8,DESCEND,1.64,-39.19,-0.07,100
3.658874750137329,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.12,-0.05,100
3.7018911838531494,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.12,-0.05,100
3.755222797393799,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.14,-0.03,100
3.809711217880249,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.14,-0.03,100
3.8531501293182373,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.09,-0.01,100
3.9066169261932373,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.09,-0.01,100
3.95050311088562,1.5,1.73,-0.22999999999999998,-0.8,DESCEND,1.73,-39.15,0.01,100
4.003483057022095,1.5,1.73,-0.22999999999999998,-0.8,DESCEND,1.73,-39.15,0.01,100
4.057351350784302,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.11,0.03,100
4.1006550788879395,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.11,0.03,100
4.1541526317596436,1.5,1.65,-0.1499999999999999,-0.8,DESCEND,1.65,-39.17,0.05,100
4.208277463912964,1.5,1.65,-0.1499999999999999,-0.8,DESCEND,1.65,-39.17,0.05,100
4.25152325630188,1.5,1.6,-0.10000000000000009,-0.8,DESCEND,1.6,-39.3,0.06,100
4.3046555519104,1.5,1.6,-0.10000000000000009,-0.8,DESCEND,1.6,-39.3,0.06,100
4.359137296676636,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.27,0.06,100
4.403055191040039,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.27,0.06,100
4.455046653747559,1.5,1.46,0.040000000000000036,0.0,HOLD,1.46,-39.35,0.07,100
4.508208990097046,1.5,1.46,0.040000000000000036,0.0,HOLD,1.46,-39.35,0.07,100
4.5514044761657715,1.5,1.39,0.1100000000000001,1.0,CLIMB,1.39,-39.4,0.07,100
4.604645490646362,1.5,1.39,0.1100000000000001,1.0,CLIMB,1.39,-39.4,0.07,100
4.657182455062866,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.34,0.05,100
4.7100830078125,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.34,0.05,100
4.753795146942139,1.5,1.29,0.20999999999999996,1.0,CLIMB,1.29,-39.48,0.03,100
4.8069236278533936,1.5,1.29,0.20999999999999996,1.0,CLIMB,1.29,-39.48,0.03,100
4.850875616073608,1.5,1.28,0.21999999999999997,1.0,CLIMB,1.28,-39.44,0.0,100
4.904581785202026,1.5,1.28,0.21999999999999997,1.0,CLIMB,1.28,-39.44,0.0,100
4.958278179168701,1.5,1.3,0.19999999999999996,1.0,CLIMB,1.3,-39.38,-0.02,100
5.002155303955078,1.5,1.3,0.19999999999999996,1.0,CLIMB,1.3,-39.38,-0.02,100
5.055615663528442,1.5,1.35,0.1499999999999999,1.0,CLIMB,1.35,-39.36,-0.04,100
5.109133243560791,1.5,1.35,0.1499999999999999,1.0,CLIMB,1.35,-39.36,-0.04,100
5.15242338180542,1.5,1.42,0.08000000000000007,0.0,HOLD,1.42,-39.39,-0.06,100
5.206820964813232,1.5,1.42,0.08000000000000007,0.0,HOLD,1.42,-39.39,-0.06,100
5.260023593902588,1.5,1.5,0.0,0.0,HOLD,1.5,-39.36,-0.08,100
5.302825212478638,1.5,1.5,0.0,0.0,HOLD,1.5,-39.36,-0.08,100
5.35552453994751,1.5,1.59,-0.09000000000000008,0.0,HOLD,1.59,-39.27,-0.09,100
5.409957408905029,1.5,1.59,-0.09000000000000008,0.0,HOLD,1.59,-39.27,-0.09,100
5.452852725982666,1.5,1.66,-0.15999999999999992,-0.8,DESCEND,1.66,-39.19,-0.07,100
5.505600452423096,1.5,1.66,-0.15999999999999992,-0.8,DESCEND,1.66,-39.19,-0.07,100
5.559114933013916,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.15,-0.06,100
5.60195779800415,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.15,-0.06,100
5.655155181884766,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.15,-0.06,100
5.708639144897461,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.13,-0.04,100
5.7521586418151855,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.13,-0.04,100
5.800664663314819,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.11,-0.01,100
5.853067398071289,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.1,0.01,100
5.905698776245117,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.1,0.01,100
5.958150863647461,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.12,0.03,100
6.0012311935424805,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.12,0.03,100
6.056077718734741,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.04,0.05,100
6.110097885131836,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.04,0.05,100
6.153046369552612,1.5,1.64,-0.1399999999999999,-0.8,DESCEND,1.64,-39.16,0.06,100
6.206337928771973,1.5,1.64,-0.1399999999999999,-0.8,DESCEND,1.64,-39.16,0.06,100
6.259606599807739,1.5,1.57,-0.07000000000000006,0.0,HOLD,1.57,-39.27,0.06,100
6.3024678230285645,1.5,1.57,-0.07000000000000006,0.0,HOLD,1.57,-39.27,0.06,100
6.356022357940674,1.5,1.51,-0.010000000000000009,0.0,HOLD,1.51,-39.26,0.07,100
6.4096574783325195,1.5,1.51,-0.010000000000000009,0.0,HOLD,1.51,-39.26,0.07,100
6.4518654346466064,1.5,1.51,-0.010000000000000009,0.0,HOLD,1.51,-39.26,0.07,100
6.505013465881348,1.5,1.43,0.07000000000000006,0.0,HOLD,1.43,-39.4,0.07,100
6.558048486709595,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.44,0.05,100
6.6002421379089355,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.44,0.05,100
6.652586221694946,1.5,1.34,0.15999999999999992,1.0,CLIMB,1.34,-39.46,0.03,100
6.705855131149292,1.5,1.34,0.15999999999999992,1.0,CLIMB,1.34,-39.46,0.03,100
6.758862733840942,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.39,0.02,100
6.802347421646118,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.39,0.02,100
6.856455564498901,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.45,0.0,100
6.900324583053589,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.45,0.0,100
6.956522464752197,1.5,1.34,0.15999999999999992,1.0,CLIMB,1.34,-39.47,-0.02,100
7.009286880493164,1.5,1.34,0.15999999999999992,1.0,CLIMB,1.34,-39.47,-0.02,100
7.052404880523682,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.29,-0.05,100
7.105604648590088,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.29,-0.05,100
7.159175395965576,1.5,1.44,0.06000000000000005,0.0,HOLD,1.44,-39.29,-0.06,100
7.201239824295044,1.5,1.44,0.06000000000000005,0.0,HOLD,1.44,-39.29,-0.06,100
7.254793882369995,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.24,-0.08,100
7.309062242507935,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.24,-0.08,100
7.352830410003662,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.23,-0.08,100
7.40654182434082,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.23,-0.08,100
7.460024356842041,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.17,-0.07,100
7.502561807632446,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.17,-0.07,100
7.556056261062622,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.12,-0.06,99
7.609472751617432,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.12,-0.06,99
7.6535773277282715,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.06,-0.03,99
7.707174062728882,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.06,-0.03,99
7.750394821166992,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.0,0.0,99
7.804722309112549,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.0,0.0,99
7.858724117279053,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.08,0.02,99
7.901368856430054,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.08,0.02,99
7.955245733261108,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.12,0.04,99
8.00866985321045,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.12,0.04,99
8.051996946334839,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.12,0.04,99
8.10700249671936,1.5,1.66,-0.15999999999999992,-0.8,DESCEND,1.66,-39.09,0.05,99
8.150057554244995,1.5,1.66,-0.15999999999999992,-0.8,DESCEND,1.66,-39.09,0.05,99
8.203983068466187,1.5,1.6,-0.10000000000000009,-0.8,DESCEND,1.6,-39.14,0.06,99
