time,cycle,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
1.33514404296875e-05,0,0.0,0.29999999999736093,1.5000016777914869,0.20285587704528185,0.013885471790289148,1.4520843819327984,-0.3,0.3,0.07187594378803264
0.05345010757446289,0,0.0,0.29995770607732397,1.5067164229672545,0.19953971418727764,0.011797138466049989,1.4530699083873713,-0.29930957128091645,0.3,0.08046977186982485
0.10088253021240234,0,0.0,0.2998493439474794,1.5126751504407432,0.19376017307380886,0.008962011720100006,1.4589059738033205,-0.29064025961071327,0.3,0.08065376495613397
0.15149879455566406,0,0.0,0.2996602751035658,1.5190307131812526,0.19051637126212587,0.008255967396362111,1.4601385549474555,-0.2857745568931888,0.3,0.08833823735069568
0.21001362800598145,0,0.0,0.2993472777590375,1.5263719480004763,0.18136740931569525,0.009812109914774098,1.4653822196050845,-0.27205111397354287,0.3,0.09148459259308761
0.25717830657958984,0,0.0,0.29902135900013577,1.5322828296078244,0.18136740931569525,0.009812109914774098,1.4653822196050845,-0.27205111397354287,0.3,0.10035091500410975
0.30699682235717773,0,0.0,0.2986058095773106,1.5385185781825732,0.1749588938745583,0.013103294102055907,1.462705557224345,-0.2624383408118374,0.3,0.11371953143734226
0.35530757904052734,0,0.0,0.29813298001020605,1.5445566053012532,0.1724533691574477,0.016074332580264278,1.4657864516146122,-0.25868005373617153,0.3,0.11815523052996146
0.4174518585205078,0,0.0,0.29742379008689196,1.552308301280405,0.16704137247582612,0.02365149311069931,1.4690718623353074,-0.25056205871373916,0.3,0.12485465841764654
0.4702122211456299,0,0.0,0.2967327005920389,1.5588739429154324,0.1612278349963495,0.033615261162633935,1.4707072305661693,-0.24184175249452422,0.3,0.13225006852389465
0.5192062854766846,0,0.0,0.296017940268257,1.5649564509065865,0.15791002418801603,0.03878902423182638,1.4709198169728348,-0.23686503628202404,0.3,0.14105495090062758
0.5727007389068604,0,0.0,0.2951574442195905,1.5715800483904008,0.1506521377938745,0.04985818362962633,1.474596504664763,-0.22597820669081176,0.3,0.1454753155884565
0.6213126182556152,0,0.0,0.29430318594135535,1.5775816100175868,0.146523738756831,0.055786961278312716,1.475644704240515,-0.2197856081352465,0.3,0.15290535866560773
0.6761209964752197,0,0.0,0.29325772650077986,1.5843264118118137,0.13721215131118522,0.06845818087132806,1.4773041189068263,-0.20581822696677782,0.3,0.160533439357481
0.7257349491119385,0,0.0,0.29223636765197253,1.5904104755147923,0.13236897128799072,0.07509548198763992,1.4802537096298694,-0.19855345693198606,0.3,0.16523514882738444
0.7777745723724365,0,0.0,0.29108879096782114,1.596768367401677,0.12121975222794489,0.08923004064995298,1.4863354190190365,-0.18182962834191732,0.3,0.16564942257396076
0.836754560470581,0,0.0,0.28969412611951323,1.6039428329364136,0.1084589227399008,0.10425684442923192,1.4931215264794282,-0.1626883841098512,0.278155922535422,0.1662319596854781
0.8901379108428955,0,0.0,0.2883460392282455,1.6104058103252268,0.10168913855100953,0.11202929720759117,1.4971885455628526,-0.1525337078265143,0.2644751130309815,0.16982589714356122
0.9402191638946533,0,0.0,0.2870076032285486,1.6164408152114982,0.08681100263959415,0.12645542306526442,1.5012881632152917,-0.13021650395939122,0.2408282702449263,0.17272897799430975
0.9890568256378174,0,0.0,0.2856339789820127,1.6222982151293623,0.07918975013686977,0.13363870822230658,1.5058296430175622,-0.11878462520530465,0.2279929061395592,0.17470285816770026
1.040602207183838,0,0.0,0.28411127071673425,1.62844911384477,0.06305697076441007,0.14834590201825743,1.511046651417343,-0.0945854561466151,0.20364805304771524,0.17610369364114054
1.0933382511138916,0,0.0,0.28247629068025354,1.6347072229591926,0.05493491461087553,0.1560349554298246,1.5191660011871058,-0.0824023719163133,0.18966200287564342,0.17331183265813022
1.1465723514556885,0,0.0,0.2807472359565812,1.640986930853669,0.03742788133680388,0.1696213394572623,1.5246012565422136,-0.056141822005205816,0.16668884474897833,0.17457851146718328
1.1932976245880127,0,0.0,0.2791648656454577,1.6464663953215726,0.01977530744825274,0.18293137385147068,1.5332437996511965,-0.02966296117237911,0.14435023769098057,0.1698338935055641
1.2306082248687744,0,0.0,0.27785811653819026,1.6508191975628772,0.010525225883636137,0.18949180395788912,1.5380346772982931,-0.015787838825454207,0.13254946887045171,0.16917678039687611
1.2782907485961914,0,0.0,0.27613256202182807,1.6563517867787538,0.0014247951876238635,0.19546497416554287,1.5417882714051316,-0.002137192781435795,0.12100138178442779,0.1718452730604333
1.3180315494537354,0,0.0,0.27464704732488493,1.6609361468725197,-0.00776800651847563,0.20211485526644163,1.5518965295712546,0.011652009777713444,0.10879828808766495,0.16355942595189765
1.3697357177734375,0,0.0,0.2726502962049614,1.666862903030385,-0.026191039548029572,0.21279364011863527,1.5541952263259207,0.03928655932204436,0.08978498412948918,0.16900151505669647
1.4198732376098633,0,0.0,0.2706453422330757,1.6725680476542069,-0.03536456231159922,0.2182604033856021,1.5575642834333392,0.05304684346739883,0.07857740827121037,0.1725056463313015
1.4721081256866455,0,0.0,0.2684851064272158,1.6784662937451795,-0.05282042353675965,0.22825085306520687,1.5637037493475612,0.07923063530513948,0.06035138004301338,0.17214381659642752
1.5214357376098633,0,0.0,0.26637871945650793,1.6839921632181885,-0.06164339076244235,0.2331057880766379,1.5703425756721126,0.09246508614366353,0.049909397069805045,0.17047438131911385
1.5645027160644531,0,0.0,0.26448735008205915,1.6887806093929978,-0.07903066982618571,0.24056162343305507,1.5777147395200213,0.11854600473927857,0.03588858997350612,0.16659880480946476
