test_distance,sample_num,detected,x_tag,y_tag,z_tag,altitude,battery
1.0,0,1,0.12242364158447208,-0.13266912586355567,0.8962178389938051,0.84,60
1.0,1,1,0.12268661629839558,-0.1314140815342322,0.8920339231993684,0.85,60
1.0,2,1,0.1229806197683268,-0.13114542883126803,0.8885561072546876,0.85,60
1.0,3,1,0.12332167951560262,-0.13368140919092536,0.8843117989056113,0.84,60
1.0,4,1,0.12302527181368232,-0.13691728186104357,0.8814938354536186,0.84,60
1.0,5,1,0.12232907530053663,-0.1403116812200681,0.8772403807398037,0.84,60
1.0,6,1,0.12243965184098884,-0.14324387329602484,0.875449954579834,0.83,60
1.0,7,1,0.12304728428809104,-0.14628169409219444,0.8719745381218883,0.83,60
1.0,8,1,0.1239722467337692,-0.14858646839975048,0.8729568254646983,0.83,60
1.0,9,1,0.12454519768565199,-0.15040525336384267,0.8720848554318036,0.83,60
1.0,10,1,0.12533119666284784,-0.1541388172449712,0.8734509910423789,0.82,59
1.0,11,1,0.12562470399875583,-0.15731032699926034,0.8748338425786266,0.82,59
1.0,12,1,0.12536535800695547,-0.1627263228360434,0.8789895018632083,0.82,59
1.0,13,1,0.12478160471364946,-0.1650329722971154,0.8811372328763878,0.82,59
1.0,14,1,0.12303199074269032,-0.16909077047718718,0.8839293624327724,0.81,59
1.0,15,1,0.12153946431576144,-0.1721704687105817,0.8864132853668232,0.81,59
1.0,16,1,0.1199009740993813,-0.1743035218789544,0.8893863206734729,0.81,59
1.0,17,1,0.11918891252696653,-0.17585418110722853,0.8919810815078147,0.81,59
1.0,18,1,0.11952455916096313,-0.177655377539786,0.8955167151022165,0.81,59
1.0,19,1,0.11981587376171071,-0.17779464961721803,0.8977187349396062,0.81,59
1.0,20,1,0.12007897177182408,-0.17904204939772825,0.900519133218288,0.81,59
1.0,21,1,0.12027618734360454,-0.17801112012791753,0.8998001326436869,0.81,59
1.0,22,1,0.1203105360792108,-0.17531185559059084,0.898087445051952,0.81,59
1.0,23,1,0.1205843249746237,-0.17451341125551695,0.8984102470522154,0.81,59
1.0,24,1,0.1208672559509084,-0.17388287153165027,0.8970761903371085,0.81,59
1.0,25,1,0.12124215886913542,-0.17413272220421114,0.8960606916086674,0.81,59
1.0,26,1,0.12071398571448239,-0.17486244625932337,0.8909800793474557,0.81,59
1.0,27,1,0.11965165434345848,-0.17649167127673737,0.8881545203539543,0.81,59
1.0,28,1,0.11826904121001106,-0.17845993299479537,0.8855244026179068,0.8,59
1.0,29,1,0.11674289425383799,-0.18089389616011942,0.8817391064271654,0.8,59
1.0,30,1,0.11429402851353868,-0.1837967529320427,0.8786513327975018,0.8,59
1.0,31,1,0.11144088285757363,-0.1853722234052589,0.875852167123984,0.8,59
1.0,32,1,0.10837662422266225,-0.18588767742539852,0.8746494265327006,0.8,59
