mission_time,target_altitude,current_altitude,error,velocity_cmd,proportional,integral,derivative
2.384185791015625e-07,1.5,0.74,0.76,0.22837999999999997,0.22799999999999998,0.0003800000000000001,0.0
0.05289959907531738,1.5,0.74,0.76,0.22876,0.22799999999999998,0.0007600000000000002,0.0
0.10592007637023926,1.5,0.73,0.77,0.234145,0.23099999999999998,0.0011450000000000002,0.0020000000000000018
0.1589651107788086,1.5,0.73,0.77,0.23253,0.23099999999999998,0.0015300000000000003,0.0
0.201308012008667,1.5,0.73,0.77,0.23291499999999998,0.23099999999999998,0.0019150000000000003,0.0
0.25472092628479004,1.5,0.73,0.77,0.23329999999999998,0.23099999999999998,0.0023000000000000004,0.0
0.3082306385040283,1.5,0.74,0.76,0.22867999999999997,0.22799999999999998,0.00268,-0.0020000000000000018
0.3513216972351074,1.5,0.74,0.76,0.23106,0.22799999999999998,0.0030600000000000007,0.0
0.40424513816833496,1.5,0.73,0.77,0.236445,0.23099999999999998,0.003445,0.0020000000000000018
0.4574394226074219,1.5,0.73,0.77,0.23482999999999998,0.23099999999999998,0.00383,0.0
0.5103509426116943,1.5,0.74,0.76,0.23020999999999997,0.22799999999999998,0.00421,-0.0020000000000000018
0.5530514717102051,1.5,0.74,0.76,0.23259,0.22799999999999998,0.004590000000000001,0.0
0.6061258316040039,1.5,0.75,0.75,0.22796499999999997,0.22499999999999998,0.004965000000000001,-0.0020000000000000018
0.6595971584320068,1.5,0.75,0.75,0.23034,0.22499999999999998,0.00534,0.0
0.7016096115112305,1.5,0.76,0.74,0.22571,0.222,0.005710000000000001,-0.0020000000000000018
0.755159854888916,1.5,0.76,0.74,0.22808,0.222,0.006080000000000001,0.0
0.8088927268981934,1.5,0.77,0.73,0.223445,0.219,0.006445000000000001,-0.0020000000000000018
0.8516621589660645,1.5,0.77,0.73,0.22581,0.219,0.006810000000000001,0.0
0.9047698974609375,1.5,0.78,0.72,0.22117,0.216,0.007170000000000001,-0.0020000000000000018
0.957766056060791,1.5,0.78,0.72,0.22353,0.216,0.007530000000000001,0.0
1.001079797744751,1.5,0.78,0.72,0.22389,0.216,0.007890000000000001,0.0
1.0547566413879395,1.5,0.78,0.72,0.22425,0.216,0.008250000000000002,0.0
1.1080834865570068,1.5,0.8,0.7,0.21459999999999999,0.21,0.008600000000000002,-0.0040000000000000036
1.1503944396972656,1.5,0.8,0.7,0.21895,0.21,0.008950000000000003,0.0
1.2030158042907715,1.5,0.8,0.7,0.2193,0.21,0.009300000000000003,0.0
1.2563142776489258,1.5,0.8,0.7,0.21964999999999998,0.21,0.009650000000000004,0.0
1.3095669746398926,1.5,0.81,0.69,0.214995,0.207,0.009995000000000002,-0.0020000000000000018
1.3517789840698242,1.5,0.81,0.69,0.21733999999999998,0.207,0.010340000000000002,0.0
1.404731273651123,1.5,0.81,0.69,0.217685,0.207,0.010685000000000002,0.0
1.4577794075012207,1.5,0.82,0.68,0.21302500000000005,0.20400000000000001,0.011025000000000004,-0.0019999999999999792
1.5005123615264893,1.5,0.82,0.68,0.21536500000000003,0.20400000000000001,0.011365000000000004,0.0
1.5534510612487793,1.5,0.83,0.67,0.21070000000000003,0.201,0.011700000000000004,-0.0020000000000000018
1.60703706741333,1.5,0.83,0.67,0.21303500000000003,0.201,0.012035000000000004,0.0
1.6593892574310303,1.5,0.84,0.66,0.20836500000000002,0.198,0.012365000000000004,-0.0020000000000000018
1.7015621662139893,1.5,0.84,0.66,0.21069500000000002,0.198,0.012695000000000003,0.0
1.754410982131958,1.5,0.85,0.65,0.20602,0.195,0.013020000000000004,-0.0020000000000000018
1.8068113327026367,1.5,0.85,0.65,0.208345,0.195,0.013345000000000003,0.0
1.859306812286377,1.5,0.86,0.64,0.203665,0.192,0.013665000000000004,-0.0020000000000000018
1.9017012119293213,1.5,0.86,0.64,0.205985,0.192,0.013985000000000003,0.0
1.9544765949249268,1.5,0.87,0.63,0.2013,0.189,0.014300000000000004,-0.0020000000000000018
2.007458209991455,1.5,0.87,0.63,0.20361500000000002,0.189,0.014615000000000005,0.0
2.059609889984131,1.5,0.87,0.63,0.20393,0.189,0.014930000000000006,0.0
2.102062225341797,1.5,0.87,0.63,0.204245,0.189,0.015245000000000007,0.0
2.1549699306488037,1.5,0.88,0.62,0.199555,0.186,0.015555000000000006,-0.0020000000000000018
2.2079668045043945,1.5,0.88,0.62,0.20186500000000002,0.186,0.015865000000000004,0.0
2.2604689598083496,1.5,0.89,0.61,0.19717,0.183,0.016170000000000004,-0.0020000000000000018
2.3032751083374023,1.5,0.89,0.61,0.199475,0.183,0.016475000000000004,0.0
2.356096029281616,1.5,0.9,0.6,0.194775,0.18,0.016775000000000005,-0.0020000000000000018
2.4084761142730713,1.5,0.9,0.6,0.197075,0.18,0.017075000000000003,0.0
2.4511361122131348,1.5,0.91,0.59,0.19236999999999999,0.177,0.017370000000000007,-0.0020000000000000018
2.504350185394287,1.5,0.91,0.59,0.194665,0.177,0.017665000000000007,0.0
2.5571720600128174,1.5,0.92,0.58,0.18995499999999998,0.174,0.017955000000000006,-0.0020000000000000018
2.610229969024658,1.5,0.92,0.58,0.192245,0.174,0.018245000000000004,0.0
