time,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
0.020112037658691406,0.15,0.15,1.4,-0.14571633213724916,-0.04522664407703501,1.04436562196376,0.15,0.0,0.0
0.07015538215637207,0.15,0.15,1.4,-0.1474866907821395,-0.0399157390187271,1.046853637899394,0.15,0.0,0.0
0.1292126178741455,0.15,0.15,1.4,-0.14816834894096859,-0.037194076720368736,1.0476818459234392,0.15,0.0,0.0
0.18748712539672852,0.15,0.15,1.4,-0.14940032750113447,-0.031664281779585426,1.0491989227080023,0.15,0.0,0.0
0.22520184516906738,0.15,0.15,1.4,-0.1500733139655668,-0.028945476784901805,1.050345463667405,0.15,0.0,0.0
0.2869250774383545,0.15,0.15,1.4,-0.15143494960527565,-0.022919295611784123,1.0517111062166247,0.15,0.0,0.0
0.33130717277526855,0.15,0.15,1.4,-0.1521016308371842,-0.019818022305176274,1.0521858432650062,0.15,0.0,0.0
0.3700523376464844,0.15,0.15,1.4,-0.1536793075174262,-0.013351387216439126,1.0529588496746645,0.15,0.0,0.0
0.42291951179504395,0.15,0.15,1.4,-0.15421341960992263,-0.010102381450681888,1.0527916811028084,0.15,0.0,0.0
0.47170495986938477,0.15,0.15,1.4,-0.1549021452543205,-0.0030874576815962274,1.0528536197818699,0.15,0.0,0.0
0.5245275497436523,0.15,0.15,1.4,-0.15480615507460846,0.00013261501582504027,1.0526651349830483,0.15,0.0,0.0
0.5705306529998779,0.15,0.15,1.4,-0.15398433691878896,0.005888973892633019,1.0521471667808822,0.15,0.0,0.0
0.6195178031921387,0.15,0.15,1.4,-0.15328144492984844,0.008530015443433903,1.0520702121256378,0.15,0.0,0.0
0.6655254364013672,0.15,0.15,1.4,-0.15127418047661906,0.01433117886700201,1.0516429049694256,0.15,0.0,0.0
0.7256808280944824,0.15,0.15,1.4,-0.1499530723636824,0.01725652196729872,1.051031262659121,0.15,0.0,0.0
0.7748076915740967,0.15,0.15,1.4,-0.1471229861822858,0.02411530553288045,1.0507539045222858,0.15,0.0,0.0
0.8252658843994141,0.15,0.15,1.4,-0.14520578139939988,0.02816971858598516,1.048898865749431,0.15,0.0,0.0
0.8710143566131592,0.15,0.15,1.4,-0.14150447701320523,0.036507199593532214,1.049011891065075,0.15,0.0,0.0
0.9212498664855957,0.15,0.15,1.4,-0.13938870663909517,0.04051032987632175,1.0481140795939479,0.15,0.0,0.0
0.9681918621063232,0.15,0.15,1.4,-0.1349677305765113,0.04834079041168153,1.0469436648872184,0.15,0.0,0.0
1.0306708812713623,0.15,0.15,1.4,-0.1297962915372624,0.05450846130233978,1.0446865085080415,0.15,0.0,0.0
1.0670483112335205,0.15,0.15,1.4,-0.1269508821206856,0.0570258405598615,1.0445176610089395,0.15,0.0,0.0
1.1299841403961182,0.15,0.15,1.4,-0.1237725917094165,0.05900294043762029,1.0440539850301909,0.15,0.0,0.0
1.1689186096191406,0.15,0.15,1.4,-0.11689329974430268,0.06220357290300785,1.0406217143805185,0.15,0.0,0.0
1.221977949142456,0.15,0.15,1.4,-0.11307083203743032,0.06345067018660043,1.0383193264173463,0.15,0.0,0.0
1.2790477275848389,0.15,0.15,1.4,-0.10507434314682984,0.06474240436662253,1.0342698711637397,0.15,0.0,0.0
1.322413444519043,0.15,0.15,1.4,-0.101096212819143,0.06519058347545816,1.0326619970729933,0.15,0.0,0.0
1.3695909976959229,0.15,0.15,1.4,-0.09296021856254773,0.06506149417105668,1.028457756579637,0.15,0.0,0.0
1.4199728965759277,0.15,0.15,1.4,-0.08887233112892043,0.06448670601892321,1.0256422517233794,0.15,0.0,0.0
1.4657166004180908,0.15,0.15,1.4,-0.08085024707508907,0.06364423230125227,1.0217805783336373,0.15,0.0,0.0
1.5270676612854004,0.15,0.15,1.4,-0.07660005557525536,0.06331327051526049,1.0195848172918,0.15,0.0,0.0
1.577803611755371,0.15,0.15,1.4,-0.06701850380293287,0.06232248858184749,1.0157604140920593,0.15,0.0,0.0
1.6516056060791016,0.15,0.15,1.4,-0.06217872198358532,0.0615223068069331,1.013742178903837,0.15,0.0,0.0
1.6828925609588623,0.15,0.15,1.4,-0.052592194181269245,0.059585906362526454,1.0095882186901326,0.15,0.0,0.0
1.7427961826324463,0.15,0.15,1.4,-0.048066228615201975,0.05839100370706149,1.0081965878337515,0.15,0.0,0.0
1.7745769023895264,0.15,0.15,1.4,-0.0436015961267128,0.05681154302938024,1.0069490396118932,0.15,0.0,0.0
1.8460471630096436,0.15,0.15,1.4,-0.03469456543020619,0.0542641137086946,1.0057953031449998,0.15,0.0,0.0
1.8762402534484863,0.15,0.15,1.4,-0.026217918247190164,0.05189025739287684,1.0020796436370012,0.15,0.0,0.0
1.9258999824523926,0.15,0.15,1.4,-0.021962320316585033,0.050914488001590666,1.0009415498847871,0.15,0.0,0.0
1.9714772701263428,0.15,0.15,1.4,-0.013051363682562257,0.04960524024073169,1.0014970185949748,0.15,0.0,0.0
2.023937702178955,0.15,0.15,1.4,-0.008462729883730093,0.04876969851086096,1.001490372845964,0.15,0.0,0.0
2.0786783695220947,0.15,0.15,1.4,0.0010232033062587001,0.04811706836504658,1.0017531625134468,0.15,0.0,0.0
2.129516839981079,0.15,0.15,1.4,0.005853630757933252,0.04796028879421366,1.001760901326194,0.15,0.0,0.0
2.1729960441589355,0.15,0.15,1.4,0.016300327740356068,0.04794093890189224,1.004047260117006,0.15,0.0,0.0
2.219470500946045,0.15,0.15,1.4,0.02161857960544406,0.048192546799516324,1.0055087608633289,0.15,0.0,0.0
