time,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
0.01416468620300293,0.15,0.15,1.4,0.3030147436297211,-0.033810488731413846,1.211752172160539,0.0,0.09236477058753545,0.0
0.07143497467041016,0.15,0.15,1.4,0.30453176358186174,-0.03430066067278179,1.212232023938634,-0.0,0.09307060820990137,0.0
0.11724281311035156,0.15,0.15,1.4,0.30516362637082417,-0.03450429165889949,1.2115896434392832,-0.0,0.09363368443210748,0.0
0.17285966873168945,0.15,0.15,1.4,0.3070003861876682,-0.034672600208760784,1.211942150531541,-0.0,0.09417952020756003,0.0
0.2186107635498047,0.15,0.15,1.4,0.3077456076992523,-0.034458911473502774,1.21171674597846,-0.0,0.09453382311861477,0.0
0.2618837356567383,0.15,0.15,1.4,0.30950094983156556,-0.03376461705645485,1.2115946181215642,-0.0,0.09464608745273197,0.0
0.3193023204803467,0.15,0.15,1.4,0.3100748175080772,-0.03324138019462787,1.2104500984993525,-0.0,0.09484257247230504,0.0
0.3669466972351074,0.15,0.15,1.4,0.3112805485251826,-0.031226686076466212,1.2086464618474382,-0.0,0.09428829212841537,0.0
0.4247465133666992,0.15,0.15,1.4,0.3121306174886181,-0.029797447544476763,1.2085095463327797,-0.0,0.09402316648128184,0.0
0.4740777015686035,0.15,0.15,1.4,0.3148636930911832,-0.024543510043707185,1.2085568885881703,-0.0,0.09183255650600633,0.0
0.5225965976715088,0.15,0.15,1.4,0.3148636930911832,-0.024543510043707185,1.2085568885881703,0.0,0.0922689152811156,0.0
0.5684058666229248,0.15,0.15,1.4,0.3162911670610864,-0.02165920529585705,1.207908542629324,-0.0,0.09125591092043016,0.0
0.6242766380310059,0.15,0.15,1.4,0.31713901236552244,-0.020481622442321927,1.208227410739252,-0.0,0.0910933235497684,0.0
0.6710844039916992,0.15,0.15,1.4,0.3180742364085022,-0.017525415603586114,1.2075221565140866,-0.0,0.09003403366940946,0.0
0.7177226543426514,0.15,0.15,1.4,0.3186034447321974,-0.016128861180528968,1.2072101436591947,-0.0,0.08975107861083222,0.0
0.7765214443206787,0.15,0.15,1.4,0.32005796452824836,-0.013282475195830364,1.2084121923513922,-0.0,0.08873609180647249,0.0
0.8227245807647705,0.15,0.15,1.4,0.32068794858052874,-0.011694449845894395,1.207844702233204,-0.0,0.08834631525611925,0.0
0.8687014579772949,0.15,0.15,1.4,0.322902826922037,-0.008982849068941201,1.2082001990980715,-0.0,0.08738797199031499,0.0
0.9131655693054199,0.15,0.15,1.4,0.324633252388078,-0.00783691971361509,1.2094776964452731,-0.0,0.08720959961193597,0.0
0.9694929122924805,0.15,0.15,1.4,0.3288961581507508,-0.006022363311443569,1.2108131827534485,-0.0,0.08669237731912882,0.0
1.0156991481781006,0.15,0.15,1.4,0.33125722030643456,-0.005146775862768069,1.2109829731065547,-0.0,0.086642450534448,0.0
1.0678207874298096,0.15,0.15,1.4,0.3364986304079198,-0.0033203502472557885,1.2107118598784348,-0.0,0.08611253860231,0.0
1.1222167015075684,0.15,0.15,1.4,0.33944685321289775,-0.002529533967255402,1.2104970019806702,-0.0,0.08609845429722796,0.0
1.167090654373169,0.15,0.15,1.4,0.34620982507139886,-0.0016249858622739601,1.2122025494411277,-0.0,0.08602524270939291,0.0
1.2219674587249756,0.15,0.15,1.4,0.34927162946950696,-0.0012536707998486044,1.211781150989643,-0.0,0.08621771935517986,0.0
1.2681341171264648,0.15,0.15,1.4,0.35610912776364695,-0.0005766004504884661,1.212611937168528,-0.0,0.086255625681626,0.0
1.321735143661499,0.15,0.15,1.4,0.3591767207088059,0.00020264191317125512,1.2119495855583127,-0.0,0.0862404978950132,0.0
1.3676478862762451,0.15,0.15,1.4,0.3660532418228613,0.001534222384063866,1.2142810442389622,-0.0,0.08594587210360674,0.0
1.4208190441131592,0.15,0.15,1.4,0.3724703934317018,0.0031967256830837086,1.215838881396793,-0.0,0.08548162863988912,0.0
1.464789867401123,0.15,0.15,1.4,0.37806062187903333,0.004466200647479712,1.2176489794897323,-0.0,0.08521072565607242,0.0
1.5197362899780273,0.15,0.15,1.4,0.37806062187903333,0.004466200647479712,1.2176489794897323,0.0,0.08557456015445372,0.0
1.5656137466430664,0.15,0.15,1.4,0.3828876970496627,0.006463614624279313,1.218710730076729,-0.0,0.08493469412949323,0.0
1.6215026378631592,0.15,0.15,1.4,0.38540717870115754,0.007169620780026857,1.220225556959483,-0.0,0.08493876699966937,0.0
1.6671340465545654,0.15,0.15,1.4,0.39004671056731016,0.00919666714001677,1.2225575173655525,-0.0,0.08427725215182438,0.0
1.7197203636169434,0.15,0.15,1.4,0.3943799491150902,0.011213039137540352,1.225169607044713,-0.0,0.08361603355521874,0.0
1.766075611114502,0.15,0.15,1.4,0.3963680272332163,0.012560999348959606,1.2257386993804533,-0.0,0.08328565095113671,0.0
1.8200905323028564,0.15,0.15,1.4,0.3983540369194773,0.013660135886789498,1.226587425607792,-0.0,0.0830769323425048,0.0
1.8666133880615234,0.15,0.15,1.4,0.4021945410023999,0.01688439583445856,1.2284120679512789,-0.0,0.08179759137908413,0.0
1.924142599105835,0.15,0.15,1.4,0.4056357760428139,0.020348554275416,1.228672782265024,-0.0,0.08038964077291685,0.0
1.9697275161743164,0.15,0.15,1.4,0.40767907720746,0.02217004110496877,1.230204134263693,-0.0,0.07979847225537806,0.0
2.0215253829956055,0.15,0.15,1.4,0.4095532284695447,0.023868982559121416,1.2312204400830493,-0.0,0.07926432907190392,0.0
