time,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
0.015017271041870117,0.15,0.15,1.4,0.1640077874842098,-0.05357953601776132,1.307637393975655,0.0,0.10382556336905827,0.0
0.07176780700683594,0.15,0.15,1.4,0.16108537454674915,-0.05286725075064141,1.3074192591891565,0.0,0.10478580797588484,0.0
0.11793899536132812,0.15,0.15,1.4,0.1598986246111625,-0.05256610101383643,1.3078572886415558,0.0,0.10707202964793563,0.0
0.17348766326904297,0.15,0.15,1.4,0.15747749328722077,-0.05204491013692002,1.3070161199362709,0.0,0.10861184217073516,0.0
0.21803855895996094,0.15,0.15,1.4,0.15631144570199132,-0.05160866095360382,1.3056639416226274,0.0,0.11049474588221334,0.0
0.2741413116455078,0.15,0.15,1.4,0.15416489153872226,-0.05150626273505,1.3052821485945303,0.0,0.11279246036504931,0.0
0.32033824920654297,0.15,0.15,1.4,0.15200562914707852,-0.05104314231001557,1.304219655607065,0.0,0.11421060936915167,0.0
0.36579036712646484,0.15,0.15,1.4,0.15104514554757403,-0.051135776387328004,1.3047724794579485,0.0,0.11682403867402798,0.0
0.4187188148498535,0.15,0.15,1.4,0.14929104012053496,-0.05073923623874613,1.3046211745025744,0.0,0.11814398673623022,0.0
0.46315670013427734,0.15,0.15,1.4,0.14830672941489395,-0.05061855217468388,1.3058513124810471,0.0,0.12036568631046557,0.0
0.518496036529541,0.15,0.15,1.4,0.14741446940657477,-0.05028167417726942,1.3071759469285502,0.0,0.1219838701201788,0.0
0.5727918148040771,0.15,0.15,1.4,0.14388542846976346,-0.04982430840712447,1.307260439736502,0.0,0.12363294254644708,0.0
0.6151771545410156,0.15,0.15,1.4,0.14290884832077902,-0.04973593585151883,1.308859610466852,0.0,0.1259551088416988,0.0
0.6708953380584717,0.15,0.15,1.4,0.14170406757830134,-0.04974410630673436,1.3092449435630782,0.0,0.12805317814319506,0.0
0.7118630409240723,0.15,0.15,1.4,0.14052314785860615,-0.04975564621900931,1.3093751674843435,0.0,0.13005987401858204,0.0
0.767770528793335,0.15,0.15,1.4,0.13851800185304033,-0.04978040837588663,1.3108826458477252,0.0,0.13208328142538192,0.0
0.8196101188659668,0.15,0.15,1.4,0.1370600035876789,-0.04905685703846136,1.3110035389087211,0.0,0.13296376083275133,0.0
0.8645915985107422,0.15,0.15,1.4,0.13649917112310253,-0.04839073316108271,1.3115035375689166,0.0,0.13467203368571942,0.0
0.9180424213409424,0.15,0.15,1.4,0.13624858724900893,-0.0475401924861101,1.3110860150833505,0.0,0.13603774847550032,0.0
0.9759607315063477,0.15,0.15,1.4,0.13639208472846254,-0.04557937547498989,1.3095490624548933,0.0,0.13590285738854246,0.0
1.0188484191894531,0.15,0.15,1.4,0.136797845938137,-0.04442201621399728,1.311224920006716,0.0,0.13807185567031374,0.0
1.0768935680389404,0.15,0.15,1.4,0.1382492374458364,-0.04140912099004906,1.3088995105060972,0.0,0.13662396330528453,0.0
1.1215894222259521,0.15,0.15,1.4,0.14003072220763438,-0.038071627399277934,1.3075108750366147,0.0,0.13651133441706884,0.0
1.1661787033081055,0.15,0.15,1.4,0.14119290492670633,-0.036391951017977583,1.3083937806703367,0.0,0.1391932329460692,0.0
1.2223763465881348,0.15,0.15,1.4,0.1440803812948737,-0.033215488810965206,1.3065320422427948,0.0,0.13794037090496064,0.0
1.2644484043121338,0.15,0.15,1.4,0.14543248278789386,-0.03160206235775922,1.3053164757155626,0.0,0.14051271405574164,0.0
1.3182482719421387,0.15,0.15,1.4,0.14909986714190746,-0.02692177967927949,1.3046439127509826,0.0,0.13687493428802083,0.0
1.3634223937988281,0.15,0.15,1.4,0.150819738829694,-0.024908225390560184,1.3040639638994838,0.0,0.14028396778732716,0.0
1.4187109470367432,0.15,0.15,1.4,0.1525599644072053,-0.02226657368882254,1.3016412538743407,0.0,0.14005771026032826,0.0
1.4748561382293701,0.15,0.15,1.4,0.156981040439611,-0.017022470744739584,1.302784599472937,0.0,0.13650343225338887,0.0
1.5200471878051758,0.15,0.15,1.4,0.15915122160440956,-0.014844247603014645,1.3031318044418863,0.0,0.14012864296091454,0.0
1.5644612312316895,0.15,0.15,1.4,0.1656427309765679,-0.0064951371996618094,1.3033919767401305,0.0,0.13134815186960686,0.0
1.616591453552246,0.15,0.15,1.4,0.1656427309765679,-0.0064951371996618094,1.3033919767401305,0.0,0.1412622136449563,0.0
1.6687872409820557,0.15,0.15,1.4,0.16952673693510212,-0.0010480922688303595,1.3028115083191394,0.0,0.13460212717139744,0.0
1.7142384052276611,0.15,0.15,1.4,0.17137697896153362,0.002370483922921572,1.3036600262349163,0.0,0.13639760297537176,0.0
1.765944242477417,0.15,0.15,1.4,0.17457386159620755,0.009116208340286387,1.303851687953105,-0.0,0.13110643045767362,0.0
1.8199057579040527,0.15,0.15,1.4,0.1760568433776404,0.01268138606500047,1.3057167554430034,-0.0,0.13387757442731732,0.0
1.8655636310577393,0.15,0.15,1.4,0.17858648631552548,0.02030684894968871,1.3084898594679708,-0.0,0.12730148933550214,0.0
1.92476224899292,0.15,0.15,1.4,0.1794253530425513,0.023746046765423186,1.3103334922354244,-0.0,0.1310306950289344,0.0
1.967569351196289,0.15,0.15,1.4,0.18031248006009565,0.030579292326872856,1.311169888486119,-0.0,0.12541423157922565,0.0
2.020918846130371,0.15,0.15,1.4,0.18108079219990889,0.03735586036934499,1.3146600173194058,-0.0,0.12320906647327369,0.0
